SP.POP.GROW	Population growth (annual %)
SP.POP.TOTL	Population, total
SP.RUR.TOTL.ZS	Rural population (% of total population)
SP.URB.TOTL.IN.ZS	Urban population (% of total population)
EN.POP.DNST	Population density (people per sq. km of land area)
SP.POP.0014.TO.ZS	Population ages 0-14 (% of total population)
SP.POP.1564.TO.ZS	Population ages 15-64 (% of total population)
SP.POP.65UP.TO.ZS	Population ages 65 and above (% of total population)
SP.DYN.TO65.FE.ZS	Survival to age 65, female (% of cohort)
SP.DYN.TO65.MA.ZS	Survival to age 65, male (% of cohort)
IT.CEL.SETS.P2	Mobile cellular subscriptions (per 100 people)
SP.DYN.TFRT.IN	Fertility rate, total (births per woman)
SP.DYN.LE00.IN	Life expectancy at birth, total (years)
ER.FSH.PROD.MT	Total fisheries production (metric tons)
ER.FSH.CAPT.MT	Capture fisheries production (metric tons)
AG.LND.AGRI.ZS	Agricultural land (% of land area)
AG.LND.ARBL.ZS	Arable land (% of land area)
EN.ATM.CO2E.KT	CO2 emissions (kt)
EN.ATM.CO2E.PC	CO2 emissions (metric tons per capita)
TX.VAL.MRCH.CD.WT	Merchandise exports (current US$)
TM.VAL.MRCH.CD.WT	Merchandise imports (current US$)
IT.MLT.MAIN.P2	Fixed telephone subscriptions (per 100 people)
EN.ATM.CO2E.GF.KT	CO2 emissions from gaseous fuel consumption (kt)
AG.PRD.CREL.MT	Cereal production (metric tons)
BX.KLT.DINV.CD.WD	Foreign direct investment, net inflows (BoP, current US$)
NY.GDP.TOTL.RT.ZS	Total natural resources rents (% of GDP)
NY.GDP.MKTP.CD	GDP (current US$)
NY.GDP.PCAP.CD	GDP per capita (current US$)
SP.DYN.IMRT.IN	Mortality rate, infant (per 1,000 live births)
EN.ATM.CO2E.KD.GD	CO2 emissions (kg per 2010 US$ of GDP)
SH.DTH.IMRT	Number of infant deaths
NY.GDP.MKTP.KD.ZG	GDP growth (annual %)
NY.GNP.MKTP.CD	GNI (current US$)
EG.IMP.CONS.ZS	Energy imports, net (% of energy use)
NE.EXP.GNFS.ZS	Exports of goods and services (% of GDP)
NE.IMP.GNFS.ZS	Imports of goods and services (% of GDP)
IS.AIR.PSGR	Air transport, passengers carried
EG.ELC.HYRO.ZS	Electricity production from hydroelectric sources (% of total)
EG.ELC.NUCL.ZS	Electricity production from nuclear sources (% of total)
EG.ELC.FOSL.ZS	Electricity production from oil, gas and coal sources (% of total)
EG.ELC.RNWX.ZS	Electricity production from renewable sources, excluding hydroelectric (% of total)
EN.URB.LCTY	Population in largest city
EG.USE.ELEC.KH.PC	Electric power consumption (kWh per capita)
NY.GNP.PCAP.CD	GNI per capita, Atlas method (current US$)
FP.CPI.TOTL.ZG	Inflation, consumer prices (annual %)
MS.MIL.XPND.GD.ZS	Military expenditure (% of GDP)
FP.CPI.TOTL	Consumer price index (2010 = 100)
SE.PRE.ENRR	School enrollment, preprimary (% gross)
SE.TER.ENRR	School enrollment, tertiary (% gross)
NY.GNS.ICTR.GN.ZS	Gross savings (% of GNI)
SE.PRM.ENRL.TC.ZS	Pupil-teacher ratio, primary
BN.CAB.XOKA.GD.ZS	Current account balance (% of GDP)
SE.ENR.PRSC.FM.ZS	School enrollment, primary and secondary (gross), gender parity index (GPI)
NY.GNS.ICTR.ZS	Gross savings (% of GDP)
NY.GNP.PCAP.KD.ZG	GNI per capita growth (annual %)
